stFips,Year,Total_CC,FDH,Other_CC,state_name,state
36,2006,1409,16418,2188,New York,NY
36,2007,1494,16952,2270,New York,NY
36,2008,1560,17328,2400,New York,NY
36,2009,1624,17932,2531,New York,NY
36,2010,1722,18300,2564,New York,NY
36,2011,1773,18546,2548,New York,NY
36,2012,1817,18475,2552,New York,NY
36,2013,1868,18440,2591,New York,NY
36,2014,1916,18069,2903,New York,NY
36,2015,1972,17295,2897,New York,NY
36,2016,2016,16433,2887,New York,NY
36,2017,2064,16177,2953,New York,NY
36,2018,2081,15782,2989,New York,NY
36,2019,2118,15476,2998,New York,NY
36,2020,2154,14414,2950,New York,NY
36,2021,2143,14127,2971,New York,NY
36,2022,2179,14161,2986,New York,NY
36,2023,1947,13167,2722,New York,NY
36,2024,15,0,0,New York,NY
37,2000,0,2,0,North Carolina,NC
37,2001,0,2,0,North Carolina,NC
37,2002,0,2,0,North Carolina,NC
37,2003,0,2,0,North Carolina,NC
37,2004,0,1,0,North Carolina,NC
37,2005,1,1,0,North Carolina,NC
37,2006,1,0,0,North Carolina,NC
37,2007,1,0,0,North Carolina,NC
37,2008,1,0,0,North Carolina,NC
37,2009,1,0,0,North Carolina,NC
37,2010,1,0,0,North Carolina,NC
37,2011,1,0,0,North Carolina,NC
37,2012,1,0,0,North Carolina,NC
37,2013,1,1,0,North Carolina,NC
37,2014,1,1,0,North Carolina,NC
37,2015,1,1,0,North Carolina,NC
37,2016,1,0,0,North Carolina,NC
37,2017,7,0,0,North Carolina,NC
37,2018,14,0,0,North Carolina,NC
37,2019,15,0,0,North Carolina,NC
37,2020,15,0,0,North Carolina,NC
37,2021,10,0,0,North Carolina,NC
37,2022,10,0,0,North Carolina,NC
37,2023,10,0,0,North Carolina,NC
37,2024,10,0,0,North Carolina,NC
38,2013,1,0,0,North Dakota,ND
38,2014,2,0,0,North Dakota,ND
38,2015,2,0,0,North Dakota,ND
38,2016,2,0,0,North Dakota,ND
39,2000,0,1,0,Ohio,OH
39,2001,0,1,0,Ohio,OH
39,2002,0,1,0,Ohio,OH
39,2003,0,1,0,Ohio,OH
39,2004,0,1,0,Ohio,OH
39,2014,4539,4949,13,Ohio,OH
39,2015,4432,4463,13,Ohio,OH
39,2016,4378,3972,51,Ohio,OH
39,2017,4286,3436,49,Ohio,OH
39,2018,4297,3080,52,Ohio,OH
39,2019,4290,2813,55,Ohio,OH
39,2020,4316,2630,34,Ohio,OH
39,2021,4358,2609,39,Ohio,OH
39,2022,4435,2580,37,Ohio,OH
39,2023,4321,2519,30,Ohio,OH
41,2004,54,0,0,Oregon,OR
41,2005,55,0,0,Oregon,OR
41,2006,56,0,0,Oregon,OR
41,2007,56,0,0,Oregon,OR
41,2008,57,0,0,Oregon,OR
41,2009,57,0,0,Oregon,OR
41,2010,55,0,0,Oregon,OR
41,2011,55,0,0,Oregon,OR
41,2012,54,0,0,Oregon,OR
41,2013,52,0,0,Oregon,OR
41,2014,51,0,0,Oregon,OR
41,2015,53,0,0,Oregon,OR
